SpecID,LabelBinomial,Measure,MeasureNo,Value,Date,Side
NHML_1934.6.16.2,Potamogale_velox,17_CorP,2,15.79,01/02/2013,right
NHML_1934.6.16.2,Potamogale_velox,18_ConY,2,7.83,01/02/2013,right
NHML_1934.6.16.2,Potamogale_velox,19_CorCon,2,13.61,01/02/2013,right
NHML_1934.6.16.2,Potamogale_velox,15_ML,3,44.31,01/02/2013,right
NHML_1934.6.16.2,Potamogale_velox,16_MTR,3,25.79,01/02/2013,right
NHML_1934.6.16.2,Potamogale_velox,17_CorP,3,16.26,01/02/2013,right
NHML_1934.6.16.2,Potamogale_velox,18_ConY,3,7.85,01/02/2013,right
NHML_1934.6.16.2,Potamogale_velox,19_CorCon,3,13.56,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,15_ML,1,56.09,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,16_MTR,1,36.35,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,17_CorP,1,19.11,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,18_ConY,1,10.88,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,19_CorCon,1,15.59,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,15_ML,2,56.83,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,16_MTR,2,35.11,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,17_CorP,2,18.02,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,18_ConY,2,11.16,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,19_CorCon,2,15.16,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,15_ML,3,56.69,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,16_MTR,3,35.01,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,17_CorP,3,18.52,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,18_ConY,3,11.19,01/02/2013,right
NHML_1960.5.2.1,Echinosorex_gymnurus,19_CorCon,3,15.66,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,15_ML,1,24.22,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,16_MTR,1,13.35,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,17_CorP,1,8.46,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,18_ConY,1,5.11,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,19_CorCon,1,7.9,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,15_ML,2,24.57,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,16_MTR,2,13.81,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,17_CorP,2,8.55,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,18_ConY,2,5.02,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,19_CorCon,2,7.88,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,15_ML,3,24.14,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,16_MTR,3,13.82,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,17_CorP,3,8.43,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,18_ConY,3,4.9,01/02/2013,right
NHML_67.213,Micropotamogale_ruwenzorii,19_CorCon,3,7.89,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,15_ML,1,22.7,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,16_MTR,1,11.89,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,17_CorP,1,8.16,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,18_ConY,1,4.73,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,19_CorCon,1,7.64,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,15_ML,2,22.5,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,16_MTR,2,12.29,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,17_CorP,2,8.24,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,18_ConY,2,4.64,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,19_CorCon,2,7.63,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,15_ML,3,22.67,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,16_MTR,3,11.54,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,17_CorP,3,8.22,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,18_ConY,3,4.64,01/02/2013,right
NHML_73.170,Micropotamogale_lamottei,19_CorCon,3,7.58,01/02/2013,right
SI_578784,Microgale_parvula,15_ML,1,10.51,26/03/2013,right
