ID,Image,SpecID,Skull,Order_05,Suborder_05,Family_05,Genus_05,Subgenus_05,Species_05,Subspecies_05,Binomial_05,Trinomial_05
339,'SI_584677_cr_dr_1A_18_04_2013.TIF',SI_584677,Y,Soricomorpha,,Soricidae,Sylvisorex,,ollula,,Sylvisorex_ollula,
340,'SI_584678_cr_dr_1A_18_04_2013.TIF',SI_584678,Y,Soricomorpha,,Soricidae,Sylvisorex,,ollula,,Sylvisorex_ollula,
341,'SI_584679_cr_dr_1A_18_04_2013.TIF',SI_584679,Y,Soricomorpha,,Soricidae,Sylvisorex,,ollula,,Sylvisorex_ollula,
342,'SI_584947_cr_dr_1A_19_04_2013.TIF',SI_584947,Y,Soricomorpha,,Soricidae,Crocidura,,crenata,,Crocidura_crenata,
343,'SI_585137_cr_dr_1A_18_04_2013.TIF',SI_585137,Y,Soricomorpha,,Soricidae,Sylvisorex,,johnstoni,,Sylvisorex_johnstoni,
344,'SI_589811_cr_dr_1A_16_04_2013.TIF',SI_589811,Y,Soricomorpha,,Soricidae,Surdisorex,,norae,,Surdisorex_norae,
345,'SI_589812_cr_dr_1A_16_04_2013.TIF',SI_589812,Y,Soricomorpha,,Soricidae,Surdisorex,,norae,,Surdisorex_norae,
346,'SI_63220_cr_dr_1A_28_03_2013.TIF',SI_63220,Y,Erinaceomorpha,,Erinaceidae,Atelerix,,sclateri,,Atelerix_sclateri,
347,'SI_67057_cr_dr_1A_09_04_2013.TIF',SI_67057,Y,Soricomorpha,,Soricidae,Sorex,Otisorex,bendirii,bendirii,Sorex_bendirii,Sorex_bendirii_bendirii
348,'SI_67058_cr_dr_1A_09_04_2013.TIF',SI_67058,Y,Soricomorpha,,Soricidae,Sorex,Otisorex,bendirii,bendirii,Sorex_bendirii,Sorex_bendirii_bendirii
349,'SI_69153_cr_dr_1A_09_04_2013.TIF',SI_69153,Y,Soricomorpha,,Soricidae,Sorex,Sorex,arcticus,arcticus,Sorex_arcticus,Sorex_arcticus_arcticus
350,'SI_69161_cr_dr_1A_09_04_2013.TIF',SI_69161,Y,Soricomorpha,,Soricidae,Sorex,Sorex,arcticus,arcticus,Sorex_arcticus,Sorex_arcticus_arcticus
351,'SI_69172_cr_dr_1A_09_04_2013.TIF',SI_69172,Y,Soricomorpha,,Soricidae,Sorex,Sorex,arcticus,arcticus,Sorex_arcticus,Sorex_arcticus_arcticus
352,'SI_86009_cr_dr_1A_09_04_2013.TIF',SI_86009,Y,Soricomorpha,,Soricidae,Sorex,Sorex,araneus,,Sorex_araneus,
353,'SI_86012_cr_dr_1A_09_04_2013.TIF',SI_86012,Y,Soricomorpha,,Soricidae,Sorex,Sorex,araneus,,Sorex_araneus,
354,'SI_86018_cr_dr_1A_09_04_2013.TIF',SI_86018,Y,Soricomorpha,,Soricidae,Sorex,Sorex,araneus,,Sorex_araneus,
355,'SI_87949_cr_dr_1A_09_04_2013.TIF',SI_87949,Y,Soricomorpha,,Soricidae,Sorex,Otisorex,bendirii,bendirii,Sorex_bendirii,Sorex_bendirii_bendirii
356,'SI_A02230_cr_dr_1A_01_04_2013.TIF',SI_A02230,Y,Soricomorpha,,Solenodontidae,Solenodon,,cubanus,,Solenodon_cubanus,
357,'SI_A37983_cr_dr_1A_01_04_2013.TIF',SI_A37983,Y,Soricomorpha,,Solenodontidae,Solenodon,,cubanus,,Solenodon_cubanus,
358,'SI_A49508_cr_dr_1A_01_04_2013.TIF',SI_A49508,Y,Soricomorpha,,Solenodontidae,Solenodon,,cubanus,,Solenodon_cubanus,
